query,time,httpCalls,serverTime,importTime,exportTime,errors
query_8916,30.68220047,2,14.936712160999999,3.7899017333984375,1.2810230255126953,0
query_8917,26.713835638,1,25.962463795,0.07915496826171875,0.0035762786865234375,0
query_8918,27.496365504,1,27.257379031,0.18477439880371094,0.003337860107421875,0
query_8919,24.514140408,1,24.248389138,0.07867813110351562,0.003337860107421875,0
query_891,30.278319152,1,29.68399451,0.12230873107910156,0.0040531158447265625,0
query_8920,25.251335774,1,24.978973364,0.2841949462890625,0.0035762786865234375,0
query_8921,24.386216008,1,24.084177497,0.331878662109375,0.00858306884765625,0
query_8922,37.43581933,1,37.218909641,0.4401206970214844,0.00667572021484375,0
query_8923,22.795038578,1,22.478483023,0.865936279296875,0.0035762786865234375,0
query_8924,20.447133356,1,20.198489622,0.11658668518066406,0.0069141387939453125,0
query_8925,19.057454368,1,18.682403258,0.2181529998779297,0.0040531158447265625,0
query_8926,45.060714334,2,22.348457567,2.690434455871582,0.40984153747558594,0
query_8927,,0
query_8928,34.623398058,1,34.146470034,0.11324882507324219,0.0035762786865234375,0
query_8929,26.787505259,1,26.357340737,0.19216537475585938,0.0035762786865234375,0
query_892,25.499833082,1,25.185296139,0.14901161193847656,0.003337860107421875,0
query_8930,25.198446331,1,24.809785196,0.152587890625,0.008106231689453125,0
query_8931,29.613769956,1,29.259134406,0.24890899658203125,0.004291534423828125,0
query_8932,,0
query_8933,25.990077874,1,25.761693669,0.16117095947265625,0.010013580322265625,0
query_8934,24.69086934,1,24.325774486,0.12278556823730469,0.003814697265625,0
query_8935,24.476420256,1,24.260915251,0.2505779266357422,0.007867813110351562,0
query_8936,26.624934952,1,26.367949826,0.17905235290527344,0.0073909759521484375,0
query_8937,65.710880548,2,32.7318183035,0.35119056701660156,0.3066062927246094,0
query_8938,25.993396884,1,25.76530809,0.18978118896484375,0.008344650268554688,0
query_8939,23.944512962,1,23.365637874,0.10395050048828125,0.0035762786865234375,0
query_893,20.949977886,1,20.587883718,0.08058547973632812,0.0035762786865234375,0
query_8940,18.0620575,1,17.594236066,0.072479248046875,0.0035762786865234375,0
query_8941,50.489610871,2,24.787725926500002,0.22089481353759766,0.1035928726196289,0
query_8942,24.433599441,1,24.058621834,0.23317337036132812,0.003814697265625,0
query_8943,27.497562121,1,27.268641011,0.1277923583984375,0.0050067901611328125,0
query_8944,26.734049946,1,26.519080179,0.2002716064453125,0.0073909759521484375,0
query_8945,,0
query_8946,,0
query_8947,,0
query_8948,35.561807562,1,35.179688223,0.1456737518310547,0.005245208740234375,0
query_8949,22.430866808,1,21.964418376,0.13518333435058594,0.0069141387939453125,0
query_894,26.91661849,1,26.527455315,0.1323223114013672,0.003337860107421875,0
query_8950,23.698751198,1,23.236114392,0.16355514526367188,0.0035762786865234375,0
query_8951,27.552683187,1,26.83914323,0.10132789611816406,0.0035762786865234375,0
query_8952,30.575176498,1,30.214955561,0.25177001953125,0.00476837158203125,0
query_8953,24.478463321,1,24.083017962,0.4317760467529297,0.003814697265625,0
query_8954,26.752217617,1,26.164830022,0.19931793212890625,0.003337860107421875,0
query_8955,26.822419852,1,26.58633368,0.1347064971923828,0.0035762786865234375,0
query_8956,30.212284269,1,29.998389642,0.17952919006347656,0.003814697265625,0
query_8957,22.994890166,1,22.650170076,0.21076202392578125,0.009298324584960938,0
query_8958,31.158668671,1,30.761886042,0.16427040100097656,0.0073909759521484375,0
query_8959,21.271935006,1,20.864180089,0.10728836059570312,0.0035762786865234375,0
query_895,30.494148997,1,30.107596905,0.23889541625976562,0.00762939453125,0
query_8960,27.156900894,1,26.773441748,0.04601478576660156,0.003337860107421875,0
query_8961,22.351649342,1,21.892053147,0.2713203430175781,0.0035762786865234375,0
query_8962,24.469081492,1,24.046419624,0.12135505676269531,0.003337860107421875,0
query_8963,26.718703803,1,26.314384195,0.19049644470214844,0.0035762786865234375,0
query_8964,32.072483111,1,31.600253183,0.22673606872558594,0.003814697265625,0
query_8965,29.997401414,1,29.490724888,0.4851818084716797,0.003814697265625,0
query_8966,31.671536305,1,31.408447336,0.3204345703125,0.00762939453125,0
query_8967,19.412044207,1,19.20745591,0.11730194091796875,0.0030994415283203125,0
query_8968,20.97510554,1,20.718450366,0.25343894958496094,0.0064373016357421875,0
query_8969,27.329805001,1,26.944386446,0.18596649169921875,0.006198883056640625,0
query_896,25.103661156,1,24.855730782,0.25725364685058594,0.008821487426757812,0
query_8970,,0
query_8971,20.300240921,1,19.951130217,0.22721290588378906,0.009298324584960938,0
query_8972,16.612728919,1,16.379318458,0.35643577575683594,0.0054836273193359375,0
query_8973,18.373235356,1,18.039561923,0.12063980102539062,0.003814697265625,0
query_8974,20.856091602,1,20.185449596,0.3077983856201172,0.0035762786865234375,0
query_8975,25.309774543,1,24.677934432,0.2467632293701172,0.007152557373046875,0
query_8976,28.881155521,1,28.092022112,0.15544891357421875,0.003814697265625,0
query_8977,,0
query_8978,28.373123212,1,27.996452052,0.32782554626464844,0.0035762786865234375,0
query_8979,48.368994878,2,23.732731632,5.296945571899414,0.24175643920898438,0
query_897,26.436787031,1,25.890341542,0.39696693420410156,0.00476837158203125,0
query_8980,24.705804002,1,24.466826867,0.17404556274414062,0.003337860107421875,0
query_8981,21.484571268,1,21.07642183,0.1277923583984375,0.003814697265625,0
query_8982,,0
query_8983,28.846686364,1,28.503495183,0.44608116149902344,0.0035762786865234375,0
query_8984,,0
query_8985,26.645586775,1,26.25208865,0.2703666687011719,0.00667572021484375,0
query_8986,22.057631566,1,21.66253225,0.22172927856445312,0.003814697265625,0
query_8987,20.336527425,1,20.110591696,0.29158592224121094,0.00762939453125,0
query_8988,20.001573718,1,19.438377048,0.22077560424804688,0.003814697265625,0
query_8989,36.944673087,1,36.449255348,0.2789497375488281,0.003337860107421875,0
query_898,,0
query_8990,27.959588428,1,27.688222532,0.11181831359863281,0.0035762786865234375,0
query_8991,29.238370758,1,28.528832875,0.4591941833496094,0.003814697265625,0
query_8992,98.856343866,4,24.5709241115,3.870248794555664,1.3447999954223633,0
query_8993,19.450425487,1,18.876403817,0.14638900756835938,0.0035762786865234375,0
query_8994,29.789186011,1,29.437470985,0.19121170043945312,0.003814697265625,0
query_8995,19.945710403,1,19.658164274,0.10752677917480469,0.003337860107421875,0
query_8996,24.893875418,1,24.485245444,0.12421607971191406,0.0035762786865234375,0
query_8997,,0
query_8998,29.164277867,1,28.779368638,0.2372264862060547,0.0064373016357421875,0
query_8999,28.115740837,1,27.731393202,0.232696533203125,0.007152557373046875,0
query_899,21.79048099,1,20.962991521,0.18072128295898438,0.0030994415283203125,0
query_89,23.90340099,1,23.499291338,0.10776519775390625,0.003337860107421875,0
query_8,27.266989823,1,26.546371434,0.07891654968261719,0.0035762786865234375,0
query_9000,29.991380193,1,28.91350744,0.4649162292480469,0.0035762786865234375,0
query_9001,22.260801405,1,21.794085807,0.1270771026611328,0.019550323486328125,0
query_9002,47.258611604,2,23.2267391905,3.995180130004883,0.15866756439208984,0
query_9003,22.744361981,1,22.201060018,0.2224445343017578,0.003337860107421875,0
query_9004,20.906987064,1,20.658835967,0.13375282287597656,0.0030994415283203125,0
query_9005,37.688527155,1,36.967347589,0.2453327178955078,0.003337860107421875,0
query_9006,,0
query_9007,31.017681582,1,30.464847124,0.14853477478027344,0.003814697265625,0
query_9008,26.983129129,1,26.614914433,0.39124488830566406,0.003337860107421875,0
query_9009,40.178934533,1,39.738615944,0.17905235290527344,0.00762939453125,0
query_900,18.434308103,1,17.839212354,0.15211105346679688,0.0035762786865234375,0
query_9010,16.540585391,1,15.979475596,0.08177757263183594,0.003337860107421875,0
query_9011,15.486417818,1,15.027992829,0.12350082397460938,0.003337860107421875,0
query_9012,15.93039627,1,15.395762424,0.2257823944091797,0.0035762786865234375,0
query_9013,35.721020608,1,35.348423933,0.1800060272216797,0.00667572021484375,0
query_9014,27.054712921,1,26.455267123,0.18548965454101562,0.0035762786865234375,0
query_9015,24.201714343,1,23.784935761,0.5259513854980469,0.0040531158447265625,0
query_9016,22.402690123,1,22.098417354,0.2372264862060547,0.003337860107421875,0
query_9017,23.728995521,1,23.290697788,0.36525726318359375,0.0035762786865234375,0
query_9018,16.200201799,1,15.525116202,0.11444091796875,0.0035762786865234375,0
query_9019,21.335966092,1,20.971992262,0.4515647888183594,0.0059604644775390625,0
query_901,,0
query_9020,34.254418526,1,33.828679173,0.04649162292480469,0.0035762786865234375,0
query_9021,26.007165184,1,25.416385155,0.1494884490966797,0.0035762786865234375,0
query_9022,13.573445726,1,13.320346272,0.12063980102539062,0.0035762786865234375,0
query_9023,21.337404038,1,20.715187106,0.18858909606933594,0.0040531158447265625,0
query_9024,53.280772399,2,26.0756572305,0.29790401458740234,0.2357959747314453,0
query_9025,21.040188687,1,20.471949715,0.08702278137207031,0.0035762786865234375,0
query_9026,,0
query_9027,28.340996999,1,27.900473273,0.5440711975097656,0.003814697265625,0
query_9028,,0
query_9029,18.437929548,1,18.054595886,0.11444091796875,0.0035762786865234375,0
query_902,21.179057696,1,20.843989417,0.48089027404785156,0.003337860107421875,0
query_9030,23.646532191,1,23.061163555,0.08678436279296875,0.003814697265625,0
query_9031,22.999771396,1,22.286928677,0.11849403381347656,0.003814697265625,0
query_9032,23.452473059,1,23.042686758,0.278472900390625,0.0035762786865234375,0
query_9033,20.262005429,1,19.862738002,0.36978721618652344,0.005245208740234375,0
query_9034,23.884533878,1,22.951434178,0.0820159912109375,0.003337860107421875,0
query_9035,23.886874195,1,23.406340614,0.15211105346679688,0.008821487426757812,0
query_9036,22.924299001,1,22.502019159,0.12278556823730469,0.0035762786865234375,0
query_9037,40.094210336,1,39.723666973,0.09131431579589844,0.0035762786865234375,0
query_9038,,0
query_9039,30.342872121,1,30.120342775,0.3616809844970703,0.014781951904296875,0
query_903,29.507262024,1,28.933376127,0.23174285888671875,0.003814697265625,0
query_9040,28.49417968,1,27.999153745,0.18644332885742188,0.0035762786865234375,0
query_9041,30.644278659,1,30.417219985,0.3101825714111328,0.0035762786865234375,0
query_9042,22.068405133,1,21.553500825,0.16927719116210938,0.003337860107421875,0
query_9043,23.609203502,1,23.153915408,0.2338886260986328,0.0059604644775390625,0
query_9044,18.888038421,1,18.604986603,0.30875205993652344,0.007867813110351562,0
query_9045,23.103147928,1,22.687887891,0.247955322265625,0.0050067901611328125,0
query_9046,21.886235946,1,21.328618121,0.2415180206298828,0.0035762786865234375,0
query_9047,19.072477969,1,18.676550102,0.11706352233886719,0.003337860107421875,0
query_9048,22.926682731,1,22.547115662,0.07152557373046875,0.0040531158447265625,0
query_9049,,0
query_904,20.551889293,1,20.253014178,0.36025047302246094,0.00858306884765625,0
query_9050,25.105539547,1,24.831676989,0.26702880859375,0.003337860107421875,0
query_9051,24.855458498,1,24.387895162,0.24247169494628906,0.0095367431640625,0
query_9052,39.859254792,1,39.507581336,0.11038780212402344,0.003814697265625,0
query_9053,32.103925096,1,31.631824003,0.10657310485839844,0.003814697265625,0
query_9054,27.313626622,1,26.937435968,0.22482872009277344,0.0073909759521484375,0
query_9055,43.137719369,2,21.174305271999998,0.3668069839477539,0.17082691192626953,0
query_9056,61.570971127,2,30.573997460500003,0.36323070526123047,0.11074542999267578,0
query_9057,23.875620047,1,23.514302906,0.37550926208496094,0.0095367431640625,0
query_9058,21.187679514,1,20.821054086,0.26154518127441406,0.007867813110351562,0
query_9059,24.302633816,1,24.078240895,0.2460479736328125,0.008344650268554688,0
query_905,28.625933478,1,28.087922784,0.3025531768798828,0.0040531158447265625,0
query_9060,18.454914208,1,18.078978438,0.23102760314941406,0.008821487426757812,0
query_9061,16.920421011,1,16.40763068,0.22459030151367188,0.003337860107421875,0
query_9062,24.44041643,1,24.059454052,0.2574920654296875,0.00762939453125,0
query_9063,29.389306973,1,29.046682685,0.16045570373535156,0.003337860107421875,0
query_9064,16.331160094,1,16.103496881,0.35262107849121094,0.007152557373046875,0
query_9065,26.360586606,1,25.955840593,0.15497207641601562,0.0030994415283203125,0
query_9066,55.724131177,2,27.599039044,0.2884864807128906,0.164031982421875,0
query_9067,40.199974547,1,39.773306932,0.3447532653808594,0.003337860107421875,0
query_9068,29.845247315,1,29.464726675,0.3108978271484375,0.005245208740234375,0
query_9069,27.71296167,1,27.244827113,0.2467632293701172,0.0035762786865234375,0
query_906,18.60809976,1,18.201150844,0.08869171142578125,0.0035762786865234375,0
query_9070,17.528269941,1,16.928551476,0.08416175842285156,0.003337860107421875,0
query_9071,20.484039017,1,20.012222418,0.25844573974609375,0.0045299530029296875,0
query_9072,34.147114775,1,33.810839113,0.553131103515625,0.003814697265625,0
query_9073,25.810694505,1,25.181163365,0.49233436584472656,0.0040531158447265625,0
query_9074,21.130396089,1,20.870393239,0.2598762512207031,0.0069141387939453125,0
query_9075,92.904967731,4,22.960420311999997,6.875336170196533,0.3924369812011719,0
query_9076,,0
query_9077,22.077108642,1,21.634327724,0.23651123046875,0.00667572021484375,0
query_9078,23.134398868,1,22.864660142,0.1049041748046875,0.008821487426757812,0
query_9079,28.823014901,1,28.234480807,0.08630752563476562,0.0035762786865234375,0
query_907,20.636699572,1,20.250992236,0.26679039001464844,0.0040531158447265625,0
query_9080,,0
query_9081,18.873653266,1,18.371185057,0.18405914306640625,0.006198883056640625,0
query_9082,,0
query_9083,33.201874219,1,32.823178618,0.2703666687011719,0.003814697265625,0
query_9084,18.936910119,1,18.579576443,0.3314018249511719,0.0069141387939453125,0
query_9085,17.560216894,1,17.177566909,0.09799003601074219,0.0054836273193359375,0
query_9086,17.797052123,1,17.331705539,0.2627372741699219,0.00667572021484375,0
query_9087,15.787968544,1,15.22059044,0.3769397735595703,0.0035762786865234375,0
query_9088,21.848408149,1,21.402228755,0.34546852111816406,0.0035762786865234375,0
query_9089,22.68671442,1,22.092211987,0.2434253692626953,0.0035762786865234375,0
