query,time,httpCalls,serverTime,importTime,exportTime,errors
query_11390,16.431171683,1,15.849314205,0.17690658569335938,0.003337860107421875,0
query_11391,22.373190846,1,22.098556122,0.29754638671875,0.0050067901611328125,0
query_11392,30.777536985,1,30.516049737,0.13184547424316406,0.0040531158447265625,0
query_11393,30.333211126,1,29.866545355,0.3809928894042969,0.0035762786865234375,0
query_11394,30.386416412,1,29.736652945,0.1823902130126953,0.003337860107421875,0
query_11395,,0
query_11396,26.652802603,1,26.274089048,0.19931793212890625,0.00667572021484375,0
query_11397,23.028455026,1,22.78550442,0.2684593200683594,0.00762939453125,0
query_11398,22.379416211,1,21.659313038,0.1919269561767578,0.003337860107421875,0
query_11399,103.594803645,4,25.73356255,2.491474151611328,1.6835331916809082,0
query_1139,33.337208619,1,32.864118721,0.12445449829101562,0.005245208740234375,0
query_113,33.183468231,1,32.937784649,0.31757354736328125,0.0035762786865234375,0
query_11400,29.956089603,1,29.73077065,0.10538101196289062,0.003337860107421875,0
query_11401,33.222969404,1,32.723689733,0.14066696166992188,0.0035762786865234375,0
query_11402,,0
query_11403,45.776789826,1,45.470289425,0.19812583923339844,0.0035762786865234375,0
query_11404,34.395732495,1,34.108164686,0.19216537475585938,0.009059906005859375,0
query_11405,22.63706828,1,22.371908674,0.09870529174804688,0.0045299530029296875,0
query_11406,,0
query_11407,41.736018043,1,41.351003315,0.1633167266845703,0.00476837158203125,0
query_11408,25.203671644,1,24.956021552,0.07796287536621094,0.0030994415283203125,0
query_11409,21.769800811,1,21.380027336,0.3058910369873047,0.003337860107421875,0
query_1140,103.015767074,4,25.57229321125,0.7901191711425781,0.3973841667175293,0
query_11410,28.066176531,1,27.679685844,0.2868175506591797,0.0069141387939453125,0
query_11411,,0
query_11412,31.389288046,1,30.952740624,0.2033710479736328,0.007867813110351562,0
query_11413,40.400082769,1,40.180853875,0.18835067749023438,0.008106231689453125,0
query_11414,34.677370967,1,34.316618586,0.1780986785888672,0.007867813110351562,0
query_11415,40.42479563,1,40.098218319,0.10037422180175781,0.003337860107421875,0
query_11416,24.201637774,1,23.883929009,0.18525123596191406,0.003337860107421875,0
query_11417,61.427255238,2,30.599391635499998,0.3159046173095703,0.3027915954589844,0
query_11418,106.612548085,3,35.202825612333335,0.5323886871337891,0.21274884541829425,0
query_11419,,0
query_1141,25.729159423,1,25.327906132,0.14472007751464844,0.004291534423828125,0
query_11420,30.085904057,1,29.704385851,0.10848045349121094,0.003337860107421875,0
query_11421,24.55147464,1,23.900428736,0.2238750457763672,0.003814697265625,0
query_11422,27.128854245,1,26.722534018,0.2684593200683594,0.003337860107421875,0
query_11423,26.779247091,1,26.429489497,0.08225440979003906,0.0064373016357421875,0
query_11424,,0
query_11425,26.648649876,1,26.2453674,0.20742416381835938,0.004291534423828125,0
