query,time,httpCalls,serverTime,importTime,exportTime,errors
query_3879,1.091300194,1,0.266452741,0.10919570922851562,0.0073909759521484375,0
query_387,1.2044332,1,0.657481,0.14662742614746094,0.0040531158447265625,0
query_3880,1.275259073,1,0.832423552,0.38886070251464844,0.006198883056640625,0
query_3881,1.504876007,1,1.090881178,0.15234947204589844,0.0045299530029296875,0
query_3882,21.938238676,18,1.1373174985555554,0.7034275266859267,0.5667077170477972,0
query_3883,1.680677681,1,1.200343581,0.4947185516357422,0.0064373016357421875,0
query_3884,6.469757734,4,1.4566562905,2.4459362030029297,0.7902979850769043,0
query_3885,2.234601636,1,1.917893375,0.1678466796875,0.003814697265625,0
query_3886,4.675436933,3,1.3790472113333334,1.8153985341389973,1.534144083658854,0
query_3887,1.501901006,1,1.167151168,0.12946128845214844,0.0040531158447265625,0
query_3888,63.046040612,45,1.3854510565777776,5.928262074788411,2.172072728474934,0
query_3889,1.61979984,1,1.084457089,0.11682510375976562,0.0040531158447265625,0
query_388,1.822482678,1,0.966407208,0.17952919006347656,0.0035762786865234375,0
query_3890,2.536888251,2,0.865731628,0.6327629089355469,0.46455860137939453,0
query_3891,1.486113012,1,0.781909667,0.052928924560546875,0.0035762786865234375,0
query_3892,2.857145495,2,0.9137403145,0.22900104522705078,0.1575946807861328,0
query_3893,64.504612239,51,1.2424306236862745,5.430749818390491,2.202604331222235,0
query_3894,4.54484864,3,1.276037305,1.3953049977620444,0.9453296661376953,0
query_3895,3.264404828,2,1.400952557,1.0322332382202148,1.0787248611450195,0
query_3896,1.472300484,1,1.09873037,0.12755393981933594,0.004291534423828125,0
query_3897,2.796233663,1,2.404314199,0.2849102020263672,0.0057220458984375,0
query_3898,1.793566143,1,1.394758835,0.15735626220703125,0.0045299530029296875,0
query_3899,1.440904934,1,0.902837229,0.1380443572998047,0.004291534423828125,0
query_389,1.371198741,1,0.973341783,0.19550323486328125,0.00858306884765625,0
query_38,12.497645873,1,12.250511548,0.5331039428710938,0.0045299530029296875,0
query_3900,1.623883401,1,1.269030693,0.14591217041015625,0.0040531158447265625,0
query_3901,,0
query_3902,2.14032483,1,1.726292556,0.14591217041015625,0.004291534423828125,0
query_3903,3.928170666,3,1.1663079386666668,1.428524653116862,1.3136068979899087,0
query_3904,2.642802358,2,1.1591882375,1.4210939407348633,0.8711814880371094,0
query_3905,8.837439651,7,1.1669080315714284,0.6545611790248326,0.6225109100341797,0
query_3906,4.377984382,3,1.2629643276666667,0.6256898244222006,0.4903475443522135,0
query_3907,,0
query_3908,1.30697838,1,1.015581695,0.1423358917236328,0.0040531158447265625,0
query_3909,1.686699952,1,1.290950362,0.1697540283203125,0.00858306884765625,0
query_390,1.641022293,1,1.141478445,0.11205673217773438,0.0040531158447265625,0
query_3910,1.744882626,1,1.338317737,0.12969970703125,0.003814697265625,0
query_3911,4.066498846,3,1.2059462266666667,0.6322065989176432,0.5424817403157551,0
query_3912,1.308890103,1,1.067767459,0.27680397033691406,0.007867813110351562,0
query_3913,1.504379082,1,1.22691425,0.19311904907226562,0.00858306884765625,0
query_3914,,0
query_3915,,0
