query,time,httpCalls,serverTime,importTime,exportTime,errors
query_1272,5.498690602,1,4.967196345,0.14901161193847656,0.0035762786865234375,0
query_1273,19.465811237,1,18.984834166,0.2338886260986328,0.004291534423828125,0
query_1274,27.722039353,1,27.340765798,0.3154277801513672,0.00667572021484375,0
query_1275,83.384274797,3,27.390505587,0.30414263407389325,0.202178955078125,0
query_1276,,0
query_1277,19.686295856,1,19.460325408,0.1862049102783203,0.0059604644775390625,0
query_1278,19.681676706,1,19.358078772,0.10704994201660156,0.0035762786865234375,0
query_1279,21.873412369,1,21.595627488,0.06341934204101562,0.0035762786865234375,0
query_127,22.243385496,1,21.962295712,0.22101402282714844,0.003337860107421875,0
query_1280,25.669995788,1,25.241875261,0.20503997802734375,0.003814697265625,0
query_1281,,0
query_1282,25.939574346,1,25.700544668,0.1964569091796875,0.00762939453125,0
query_1283,29.518314968,1,29.141222993,0.09393692016601562,0.0073909759521484375,0
query_1284,25.421080935,1,24.666928464,0.15234947204589844,0.0035762786865234375,0
query_1285,25.968049036,1,25.570860083,0.2231597900390625,0.00476837158203125,0
query_1286,28.069717107,1,27.639409271,0.34499168395996094,0.00667572021484375,0
query_1287,45.833920649,1,45.61419786,0.12278556823730469,0.0054836273193359375,0
query_1288,,0
query_1289,51.886066554,2,25.6103825705,2.5467872619628906,0.13685226440429688,0
query_128,38.195824751,1,37.899593449,0.2429485321044922,0.007867813110351562,0
query_1290,25.737447545,1,25.394587854,0.33020973205566406,0.008344650268554688,0
query_1291,24.824658767,1,24.470359283,0.16045570373535156,0.0035762786865234375,0
query_1292,24.398644211,1,24.039420158,0.102996826171875,0.0030994415283203125,0
query_1293,17.545569718,1,17.256962191,0.1652240753173828,0.0040531158447265625,0
query_1294,23.022757397,1,22.009731893,0.2079010009765625,0.0040531158447265625,0
query_1295,23.185231381,1,22.56569445,0.13899803161621094,0.003337860107421875,0
query_1296,24.530343168,1,24.307920922,0.17261505126953125,0.007152557373046875,0
query_1297,28.082322494,1,27.673762328,0.2696514129638672,0.007152557373046875,0
query_1298,23.375764313,1,23.113516033,0.1220703125,0.0035762786865234375,0
query_1299,,0
query_129,41.418038846,1,40.90177392,0.37026405334472656,0.003337860107421875,0
query_12,33.00472106,1,32.535373305,0.20360946655273438,0.0035762786865234375,0
query_1300,20.279779211,1,19.789254378,0.13113021850585938,0.0035762786865234375,0
query_1301,,0
query_1302,,0
