query,time,httpCalls,serverTime,importTime,exportTime,errors
query_11042,2.999652321,4,0.48693424575,3.166496753692627,0.4464387893676758,0
query_11043,1.396302435,1,0.928024442,0.1983642578125,0.0045299530029296875,0
query_11044,9.924395801,4,2.3710820360000002,0.5221962928771973,0.39821863174438477,0
query_11045,3.896707657,2,1.448809363,0.5168914794921875,0.3088712692260742,0
query_11046,3.628553474,2,1.4865111464999998,1.0477304458618164,0.29921531677246094,0
query_11047,1.743699216,1,1.109827535,0.11920928955078125,0.004291534423828125,0
query_11048,1.470785142,1,1.13453241,0.2319812774658203,0.007152557373046875,0
query_11049,,0
query_1104,,0
query_11050,4.664721293,2,2.068064557,1.0787248611450195,0.26416778564453125,0
query_11051,62.302003903,37,1.6499351424324329,0.5728747393633871,0.43384448902027034,0
query_11052,12.07897233,8,1.4328723662499998,0.5074143409729004,0.36585330963134766,0
query_11053,1.568452303,1,1.234948018,0.09608268737792969,0.0040531158447265625,0
query_11054,,0
query_11055,,0
query_11056,1.718773683,1,1.26132521,0.07772445678710938,0.0035762786865234375,0
query_11057,1.622782281,1,1.244748176,0.14138221740722656,0.004291534423828125,0
query_11058,2.020607254,1,1.647677192,0.4649162292480469,0.009775161743164062,0
query_11059,13.153539284,9,1.3837010572222224,0.8512073092990451,0.5257924397786459,0
query_1105,6.514249527,3,1.9699569326666666,0.7466475168863932,0.8388360341389973,0
query_11060,2.848676232,1,2.513933336,0.12564659118652344,0.0035762786865234375,0
query_11061,1.951134954,1,1.51173755,0.13637542724609375,0.0040531158447265625,0
query_11062,52.684805024,34,1.515468276264706,0.6108143750359032,0.4327086841358858,0
query_11063,3.512851952,2,1.5540022435,1.537919044494629,0.8383989334106445,0
query_11064,5.70435618,4,1.2707395322500001,1.620471477508545,1.6363263130187988,0
query_11065,12.360162498,4,2.97221892425,0.7140040397644043,0.4036426544189453,0
query_11066,46.886773471,31,1.4846590372580644,4.752382155387633,0.3585738520468435,0
query_11067,,0
query_11068,2.184762543,1,1.741628525,0.1609325408935547,0.0040531158447265625,0
query_11069,7.611558931,1,7.256392859,0.4489421844482422,0.0040531158447265625,0
query_1106,3.287526786,2,1.4896253035,0.49304962158203125,0.33843517303466797,0
query_11070,6.406137495,3,1.9863557293333334,1.2277762095133464,1.06048583984375,0
query_11071,1.852736884,1,1.452474329,0.2048015594482422,0.009059906005859375,0
query_11072,2.736267166,2,1.19687176,1.2723207473754883,1.0609626770019531,0
query_11073,1.399366111,1,1.175947499,0.15020370483398438,0.008106231689453125,0
query_11074,2.841113104,2,1.20317054,0.47326087951660156,0.35321712493896484,0
query_11075,3.16691252,2,1.334810624,0.9154081344604492,0.9396076202392578,0
query_11076,5.775658954,3,1.7633061890000001,1.3303756713867188,1.1370182037353516,0
query_11077,12.7965757,9,1.3149274532222222,0.9779930114746094,0.6743007236056857,0
query_11078,3.042020595,2,1.197348118,0.4481077194213867,0.550389289855957,0
query_11079,2.542313594,1,2.135294091,0.11897087097167969,0.0040531158447265625,0
query_1107,1.733431439,1,1.304487292,0.16427040100097656,0.00858306884765625,0
query_11080,4.323794842,3,1.214018525333333,1.4518102010091145,1.0427633921305337,0
query_11081,6.384373563,4,1.48838825925,2.999246120452881,0.4569888114929199,0
query_11082,1.654066769,1,1.347996657,0.15878677368164062,0.0040531158447265625,0
query_11083,74.431503603,45,1.624806674288889,0.5935404035780165,0.4181120130750869,0
query_11084,2.638172842,1,2.29145265,0.186920166015625,0.0045299530029296875,0
query_11085,45.839773447,35,1.276685271828571,0.6245000021798268,0.4382542201450892,0
query_11086,2.591623829,1,2.276727138,0.0858306884765625,0.0040531158447265625,0
query_11087,,0
query_11088,,0
query_11089,37.777058437,31,1.162120770516129,5.191718378374652,0.6514903037778793,0
query_1108,10.187316733,8,1.174775168375,1.6554296016693115,1.760244369506836,0
query_11090,,0
query_11091,1.579037299,1,1.10934928,0.14638900756835938,0.0040531158447265625,0
query_11092,,0
query_11093,5.289723178,4,1.1885466362500001,1.6772747039794922,0.7562041282653809,0
query_11094,3.112589188,2,1.3957777925000001,1.3155937194824219,0.9365081787109375,0
query_11095,22.321745075,15,1.4206267611333336,2.190113067626953,0.5302588144938152,0
query_11096,2.131017599,1,1.838418155,0.1373291015625,0.0054836273193359375,0
query_11097,7.800707732,6,1.2311508926666666,2.0932753880818686,1.822034517923991,0
query_11098,7.623949228,5,1.3324152832,2.8097152709960938,0.5423545837402344,0
query_11099,2.606882785,2,0.8748693315,0.5129575729370117,0.3333091735839844,0
query_1109,4.950046182,4,1.17271262925,2.9518604278564453,0.6205439567565918,0
query_110,1.512361014,1,0.969521884,0.1983642578125,0.0069141387939453125,0
query_11100,,0
query_11101,4.923550699,3,1.424443988,1.2349287668863933,1.1217594146728516,0
query_11102,12.949947677,9,1.3511314032222221,0.8108350965711806,0.5175802442762587,0
query_11103,5.659686936,4,1.315194656,1.3756155967712402,0.45293569564819336,0
query_11104,3.206085361,2,1.2862300654999999,0.21386146545410156,0.1455545425415039,0
query_11105,4.962390591,1,4.689171129,0.1437664031982422,0.0045299530029296875,0
query_11106,2.148239592,1,1.725485936,0.10061264038085938,0.0035762786865234375,0
query_11107,1.962733691,1,1.435288507,0.2827644348144531,0.00762939453125,0
query_11108,13.013680744,7,1.7534602905714287,0.8561270577566965,0.6397792271205357,0
query_11109,2.178867805,1,1.901735636,0.27441978454589844,0.0054836273193359375,0
query_1110,,0
