query,time,httpCalls,serverTime,importTime,exportTime,errors
query_0,0.640268029,4,0.09206452325,1.233816146850586,0.8460283279418945,0
query_10000,0.333271287,1,0.101136643,0.1823902130126953,0.0057220458984375,0
query_10001,0.635481647,4,0.10134209000000001,2.319633960723877,1.356363296508789,0
query_10002,0.25514358,1,0.054491476,0.18453598022460938,0.009298324584960938,0
query_10003,1.351532611,10,0.0907500151,1.4760494232177734,0.8096694946289062,0
query_10004,1.301577172,4,0.274719843,4.667043685913086,0.3560781478881836,0
query_10005,0.23151174,1,0.043550301,0.22554397583007812,0.009298324584960938,0
query_10006,0.232076245,1,0.041241716,0.5397796630859375,0.008344650268554688,0
query_10007,10.495835531,1,10.152023913,0.5545616149902344,0.003814697265625,0
query_10008,1.495351497,10,0.0973107865,1.799488067626953,1.3213157653808594,0
query_10009,4.009143784,38,0.0872722451842105,0.7370710372924805,0.4234564931769121,0
query_1000,117.06415043,471,0.23610325261995746,2.8783758734441864,2.3603479826779394,0
query_10010,0.281492165,1,0.068677684,0.19359588623046875,0.0073909759521484375,0
query_10011,4.125172593,31,0.1201973229032258,3.6212321250669417,2.6718493430845203,0
query_10012,74.336268716,653,0.11173771637059711,2.9905017630794646,2.2399012929265045,0
query_10013,0.248222077,1,0.05132559,0.10967254638671875,0.00858306884765625,0
query_10014,0.528716576,1,0.185774655,0.2961158752441406,0.003814697265625,0
query_10015,0.263032253,1,0.059936534,0.18095970153808594,0.007867813110351562,0
query_10016,0.48075235,3,0.08693772333333334,0.5735556284586588,0.30787785847981775,0
query_10017,0.686325927,2,0.149864357,1.7361640930175781,1.2973546981811523,0
query_10018,0.416173266,2,0.0894872475,1.026749610900879,0.4633665084838867,0
query_10019,0.48058589,3,0.08556757866666667,0.7838408152262369,0.47620137532552087,0
query_1001,5.663112169,56,0.08650177305357143,0.7209905556270053,0.4155678408486503,0
query_10020,,0
query_10021,0.745941147,5,0.10264509620000001,1.4920234680175781,1.1296272277832031,0
query_10022,1.569646178,13,0.08590301946153846,0.7283504192645733,0.42183582599346453,0
query_10023,0.277592744,1,0.069926329,0.2675056457519531,0.007152557373046875,0
query_10024,0.237505232,1,0.045015997,0.31065940856933594,0.008821487426757812,0
query_10025,,0
query_10026,0.294945202,1,0.091920531,0.25916099548339844,0.0069141387939453125,0
query_10027,13.772511546,140,0.08765942319285715,1.2068050248282292,0.8363417216709682,0
query_10028,0.26402306,1,0.059645447,0.15687942504882812,0.009298324584960938,0
query_10029,0.694261136,4,0.1035375975,0.8258223533630371,0.4978775978088379,0
query_1002,0.277958501,1,0.075557021,0.2865791320800781,0.009059906005859375,0
query_10030,0.572248697,4,0.085496202,1.9371509552001953,1.574695110321045,0
query_10031,0.34146893,1,0.134419924,0.30803680419921875,0.0057220458984375,0
query_10032,0.766447823,5,0.0891825154,2.1314620971679688,1.7661571502685547,0
query_10033,1.514060916,11,0.08899359990909092,0.716036016290838,0.4145665602250533,0
query_10034,0.254405635,1,0.0537368,0.21576881408691406,0.00858306884765625,0
