query,time,httpCalls,serverTime,importTime,exportTime,errors
query_11216,1.432143139,1,0.41221986,0.13136863708496094,0.0040531158447265625,0
query_11217,1.392885981,1,0.809594762,0.09942054748535156,0.0035762786865234375,0
query_11218,6.46475522,5,1.1426574314,0.4120349884033203,0.274658203125,0
query_11219,4.646961084,3,1.2681535936666666,0.7473627726236979,0.9275277455647786,0
query_1121,2.511722835,2,0.863948614,0.8677244186401367,0.3135204315185547,0
query_11220,,0
query_11221,3.586969757,3,0.842244888,0.9524027506510416,1.0106563568115234,0
query_11222,1.518616642,1,1.0828604,0.2994537353515625,0.007152557373046875,0
query_11223,,0
query_11224,2.219848893,1,1.597750148,0.11539459228515625,0.0050067901611328125,0
query_11225,2.120441709,1,1.350424788,0.11086463928222656,0.007152557373046875,0
query_11226,1.490398738,1,1.129962075,0.26297569274902344,0.0057220458984375,0
query_11227,43.634777935,36,1.1712571522222224,0.5353954103257924,0.42978922526041663,0
query_11228,1.548569741,1,1.119259691,0.14638900756835938,0.004291534423828125,0
query_11229,1.827953791,1,1.575363626,0.12683868408203125,0.004291534423828125,0
query_1122,1.890173645,1,1.389069374,0.3063678741455078,0.004291534423828125,0
query_11230,2.017429332,1,1.347552548,0.1068115234375,0.0040531158447265625,0
query_11231,3.525263987,2,1.5062791309999999,0.8401870727539062,0.16558170318603516,0
query_11232,7.26218629,4,1.65583151775,1.6797780990600586,1.4206171035766602,0
query_11233,,0
query_11234,18.931807876,16,1.1399056972500001,3.863111138343811,0.3259479999542237,0
query_11235,74.053991185,55,1.325866743290909,7.7740842645818535,0.5945422432639382,0
query_11236,13.694842469,11,1.1803671801818183,0.49233436584472656,0.39649009704589844,0
query_11237,6.60666397,4,1.52940061825,0.6170272827148438,0.3166794776916504,0
query_11238,2.068315318,1,1.787577487,0.09965896606445312,0.0035762786865234375,0
query_11239,1.833322126,1,1.372467607,0.2396106719970703,0.00858306884765625,0
query_1123,1.763283718,1,1.348536836,0.1926422119140625,0.0073909759521484375,0
query_11240,5.211541649,4,1.102187177,0.8279085159301758,0.7088184356689453,0
query_11241,4.508343442,3,1.2170554756666667,1.2408097585042317,1.4901955922444663,0
query_11242,1.868496698,1,1.378678814,0.21982192993164062,0.008821487426757812,0
query_11243,1.776101047,1,1.33763092,0.13566017150878906,0.005245208740234375,0
query_11244,40.947515397,27,1.4874772429629626,0.6735413162796584,0.46221415201822913,0
query_11245,,0
query_11246,,0
query_11247,3.422250575,3,1.03598832,0.5901654561360677,0.49273173014322913,0
query_11248,1.684668065,1,1.080743949,0.17380714416503906,0.00858306884765625,0
query_11249,54.360276207,39,1.3724649288461541,3.1940692510360336,2.7054578830034295,0
query_1124,2.088441104,1,1.557273366,0.2009868621826172,0.004291534423828125,0
query_11250,2.151888733,1,1.698115563,0.1342296600341797,0.00476837158203125,0
query_11251,1.687921983,1,1.24021831,0.1308917999267578,0.0040531158447265625,0
